,Player,Weight,Height,Position,Rk,Age,Team_x,GP_x,G_x,A_x,PTS,+/-,PIM_x,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Unnamed: 0_y,Round,Draft Position,Team_y,Seasons,GP_y,G_y,A_y,TP,PIM_y,Year,PPS
111,Andrew Bodnarchuk,195.0,71.0,D,810.0,21.0,BOS,79.0,0.0,8.0,8.0,-16.0,30.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,18.0,0.0,5.0,36:37,7:19,0.0,0.0,0.0,57.0,90.0,5.0,12.0,127,5,128,Boston Bruins,2,42,0,4,4,16,2006,2.0
118,Pavel Valentenko,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138,5,139,Montréal Canadiens,0,0,0,0,0,0,2006,0.0
119,Cody Wild,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,5,140,Edmonton Oilers,0,0,0,0,0,0,2006,0.0
121,Maxime Fréchette,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,5,142,Columbus Blue Jackets,0,0,0,0,0,0,2006,0.0
123,Martin Nolet,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143,5,144,Los Angeles Kings,0,0,0,0,0,0,2006,0.0
125,Alex Biega,199.0,70.0,D,731.0,26.0,VAN,243.0,4.0,38.0,42.0,-26.0,122.0,4.0,0.0,0.0,2.0,36.0,1.0,1.0,336.0,14.3,19.0,110:34,17:40,0.0,0.0,0.0,227.0,624.0,31.0,100.0,146,5,147,Buffalo Sabres,8,243,4,38,42,122,2006,5.25
126,Olivier Magnan,210.0,74.0,D,911.0,24.0,NJD,18.0,0.0,0.0,0.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,20.0,282:49,15:43,0.0,1.0,0.0,15.0,29.0,4.0,7.0,147,5,148,New Jersey Devils,1,18,0,0,0,4,2006,0.0
129,Jordan Bendfeld,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,5,152,Phoenix Coyotes,0,0,0,0,0,0,2006,0.0
132,Peter Aston,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,6,155,Florida Panthers,0,0,0,0,0,0,2006,0.0
136,Jesse Dudas,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158,6,159,Columbus Blue Jackets,0,0,0,0,0,0,2006,0.0
137,Andrew MacDonald,204.0,73.0,D,579.0,23.0,NYI,665.0,32.0,157.0,189.0,-35.0,324.0,24.0,8.0,0.0,8.0,113.0,38.0,6.0,685.0,2.3,100.0,924:06,25:25,0.0,1.0,0.0,1578.0,440.0,251.0,436.0,159,6,160,New York Islanders,11,586,28,133,161,276,2006,14.636363636363637
141,Constantin Braun,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,6,164,Los Angeles Kings,0,0,0,0,0,0,2006,0.0
145,Dane Crowley,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,6,168,Tampa Bay Lightning,0,0,0,0,0,0,2006,0.0
156,Kevin Koopman,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,6,181,Ottawa Senators,0,0,0,0,0,0,2006,0.0
159,Alexander Hellström,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183,7,184,St. Louis Blues,0,0,0,0,0,0,2006,0.0
160,Timo Seppänen,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,7,185,Pittsburgh Penguins,0,0,0,0,0,0,2006,0.0
