,Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
93,16.0,Mike Condon,25.0,MTL,G,170.0,155.0,64.0,72.0,23.0,429.0,4640.0,4211.0,1.0,2.71,11.0,3122:442324:2520:002304:251626:2575:15,75.0,0.5,9.0,114.0,-16.9,3.25,6.6,0.0,0.0,0.0,0.0,
94,41.0,Joonas Korpisalo,21.0,CBJ,G,315.0,287.0,133.0,121.0,33.0,883.0,9088.0,8205.0,0.921,2.6,5.0,1803:03790:311048:491360:342125:541747:261128:292171:571550:57621:003080:28,146.0,0.727,1.0,95.0,4.5,3.09,6.3,0.0,0.0,0.0,2.0,
95,44.0,Anders Nilsson,25.0,2TM,G,203.0,182.0,74.0,97.0,16.0,566.0,6109.0,5543.0,0.923,3.12,7.0,1500:351413:1787:181484:151463:412039:48717:561321:521093:16,80.0,0.579,5.0,116.0,-10.8,3.76,3.4,0.0,1.0,1.0,4.0,
96,45.0,Connor Hellebuyck,22.0,WPG,G,505.0,496.0,275.0,173.0,41.0,1281.0,15402.0,14121.0,0.924,2.34,37.0,1433:283033:313965:543704:063268:332602:493903:303777:583567:20,290.0,0.688,6.0,96.0,2.2,2.8,4.3,0.0,0.0,0.0,0.0,
97,58.0,Linus Ullmark,22.0,BUF,G,247.0,238.0,138.0,73.0,23.0,598.0,7331.0,6733.0,0.938,2.6,8.0,1130:4058:44240:182102:062026:381117:052330:262882:122400:08,152.0,1.0,4.0,102.0,-0.9,3.13,3.2,0.0,0.0,0.0,0.0,
98,62.0,Garret Sparks,22.0,TOR,G,40.0,35.0,15.0,18.0,2.0,112.0,1109.0,997.0,0.936,3.02,2.0,974:571104:4227:2497:13,15.0,1.0,4.0,126.0,-10.2,3.63,1.5,0.0,0.0,0.0,0.0,
99,67.0,Matt Murray,21.0,PIT,G,276.0,268.0,148.0,88.0,24.0,728.0,8103.0,7375.0,1.0,2.0,16.0,748:352765:482732:582880:142237:301404:111181:311473:10177:0260:00,141.0,1.0,0.0,83.0,5.2,2.4,2.7,0.0,0.0,0.0,0.0,
100,71.0,Jean-Fran̤ois B̩rub̩,24.0,NYI,G,40.0,29.0,12.0,12.0,4.0,111.0,1088.0,977.0,0.914,2.71,0.0,398:42526:49667:23305:53,14.0,0.667,1.0,101.0,-0.1,3.31,1.2,0.0,0.0,0.0,0.0,
101,76.0,Christopher Gibson,23.0,NYI,G,16.0,12.0,4.0,5.0,3.0,43.0,434.0,391.0,0.941,3.4,0.0,194:02426:5240:00112:58,6.0,0.625,1.0,139.0,-3.1,4.02,0.2,0.0,0.0,0.0,0.0,
102,77.0,Scott Wedgewood,23.0,NJD,G,167.0,146.0,61.0,63.0,28.0,470.0,5044.0,4574.0,0.957,1.25,7.0,240:451096:30888:022104:48169:261481:26453:561126:461789:08,69.0,0.75,0.0,51.0,4.9,1.5,1.3,0.0,0.0,0.0,0.0,
103,78.0,Yann Danis,34.0,NJD,G,2.0,0.0,0.0,1.0,0.0,4.0,18.0,14.0,0.778,4.75,0.0,50:30,0.0,,0.0,261.0,-2.5,5.94,-0.2,0.0,0.0,0.0,0.0,
104,79.0,Niklas Treutle,24.0,ARI,G,2.0,1.0,0.0,1.0,0.0,5.0,20.0,15.0,0.75,6.04,0.0,49:42,0.0,0.0,1.0,294.0,-3.3,7.24,-0.3,0.0,0.0,0.0,2.0,
105,81.0,Jordan Binnington,22.0,STL,G,280.0,273.0,145.0,94.0,31.0,756.0,8188.0,7432.0,0.927,4.69,15.0,12:471876:252947:412447:402144:573516:033291:29,145.0,,0.0,294.0,-0.7,4.69,-0.1,0.0,0.0,0.0,0.0,
106,82.0,Peter Budaj,33.0,LAK,G,132.0,119.0,64.0,46.0,7.0,277.0,3106.0,2829.0,0.917,3.85,14.0,62:183308:163029:24278:52430:2471:45,66.0,0.608,0.0,168.0,-1.6,4.82,0.0,0.0,0.0,0.0,0.0,
107,83.0,Pheonix Copley,24.0,STL,G,76.0,69.0,44.0,16.0,8.0,200.0,1976.0,1776.0,0.905,2.46,3.0,24:2658:561528:5696:352089:29436:17,37.0,,0.0,196.0,-0.5,2.46,0.0,0.0,0.0,0.0,0.0,
108,85.0,Kristers Gudlevskis,23.0,TBL,G,2.0,1.0,0.0,0.0,1.0,1.0,35.0,34.0,1.0,1.0,0.0,59:5711:27,1.0,1.0,0.0,37.0,1.7,1.0,0.4,0.0,0.0,0.0,0.0,
109,86.0,Magnus Hellberg,24.0,NYR,G,43.0,31.0,13.0,16.0,2.0,112.0,1015.0,903.0,0.935,6.0,0.0,20:0078:3160:00936:2160:00876:21119:53,14.0,,0.0,392.0,-1.5,6.0,-0.1,0.0,0.0,0.0,0.0,
110,87.0,Jason Kasdorf,23.0,BUF,G,1.0,1.0,0.0,1.0,0.0,4.0,30.0,26.0,0.867,4.0,0.0,60:00,0.0,0.0,0.0,157.0,-1.4,5.0,0.0,0.0,0.0,0.0,0.0,
111,88.0,Michael Leighton,34.0,CHI,G,5.0,3.0,2.0,2.0,0.0,13.0,109.0,96.0,0.941,1.52,0.0,39:29210:17,1.0,,0.0,69.0,0.4,1.52,0.2,0.0,0.0,0.0,0.0,
112,89.0,Charlie Lindgren,22.0,MTL,G,110.0,102.0,53.0,39.0,12.0,290.0,3173.0,2883.0,0.958,2.0,8.0,60:00121:42832:5865:00360:51246:251692:042852:23,60.0,1.0,0.0,84.0,0.4,2.0,0.2,0.0,0.0,0.0,0.0,
113,90.0,Matt O'Connor,23.0,OTT,G,1.0,1.0,0.0,1.0,0.0,3.0,34.0,31.0,0.912,3.1,0.0,58:02,0.0,0.0,0.0,104.0,-0.1,4.14,0.2,0.0,0.0,0.0,0.0,
114,91.0,Juuse Saros,20.0,NSH,G,350.0,333.0,182.0,119.0,32.0,878.0,10583.0,9705.0,0.927,3.1,23.0,58:011199:551496:401696:132176:502051:483931:423809:593624:38,202.0,0.684,0.0,153.0,-1.0,4.14,0.0,0.0,0.0,0.0,0.0,
115,92.0,Roman Will,23.0,COL,G,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.667,3.25,0.0,18:28,0.0,,0.0,392.0,-0.7,3.25,-0.1,0.0,0.0,0.0,0.0,
116,53.0,Aaron Dell,27.0,SJS,G,130.0,106.0,50.0,50.0,13.0,335.0,3518.0,3183.0,0.931,2.0,5.0,1110:331522:051323:171834:14319:10565:23199:17,49.0,0.706,1.0,80.0,9.1,2.32,4.2,0.0,0.0,0.0,0.0,
117,60.0,Jared Coreau,25.0,DET,G,21.0,21.0,5.0,9.0,4.0,68.0,565.0,497.0,0.887,3.46,2.0,711:40380:26,6.0,0.357,6.0,131.0,-9.7,3.96,1.0,0.0,0.0,0.0,0.0,
118,63.0,Jeremy Smith,27.0,COL,G,10.0,8.0,1.0,6.0,1.0,32.0,286.0,254.0,0.888,3.54,0.0,542:43,3.0,0.375,3.0,129.0,-7.2,4.09,0.8,0.0,0.0,0.0,0.0,
119,65.0,Zane McIntyre,24.0,BOS,G,8.0,3.0,0.0,4.0,1.0,22.0,155.0,133.0,0.858,3.97,0.0,332:37,0.0,0.0,1.0,164.0,-8.6,4.51,-0.1,0.0,0.0,0.0,0.0,
120,69.0,Anthony Stolarz,23.0,PHI,G,126.0,95.0,47.0,36.0,12.0,301.0,3440.0,3139.0,0.944,2.07,9.0,376:05868:25629:44238:4158:33464:181506:25820:031506:27,53.0,1.0,1.0,83.0,2.7,2.39,1.4,0.0,0.0,0.0,0.0,
